"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\svg\reactions\Love.tsx", "TypeScript JSX", 0, 18, 0, 0, 1, 19
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\svg\side-bar-icons\FriendIcon.tsx", "TypeScript JSX", 0, 13, 0, 0, 1, 14
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\svg\side-bar-icons\GroupIcon.tsx", "TypeScript JSX", 0, 13, 0, 0, 1, 14
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\svg\side-bar-icons\LogOutIcon.tsx", "TypeScript JSX", 0, 13, 0, 0, 1, 14
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\svg\side-bar-icons\NewsFeedIcon.tsx", "TypeScript JSX", 0, 13, 0, 0, 1, 14
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\svg\side-bar-icons\NotificationIcon.tsx", "TypeScript JSX", 0, 19, 0, 0, 1, 20
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\user\Avatar.tsx", "TypeScript JSX", 0, 41, 0, 3, 3, 47
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\config\index.ts", "TypeScript", 1, 0, 0, 0, 1, 2
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\constants\EnvVars.ts", "TypeScript", 3, 0, 0, 3, 2, 8
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\constants\index.ts", "TypeScript", 2, 0, 0, 0, 0, 2
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\constants\reactionMap.ts", "TypeScript", 11, 0, 0, 0, 3, 14
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\enums\group.enums.ts", "TypeScript", 25, 0, 0, 1, 5, 31
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\enums\post.enums.ts", "TypeScript", 15, 0, 0, 0, 3, 18
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\enums\user.enums.ts", "TypeScript", 21, 0, 0, 2, 5, 28
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\helpers\fetchApi.ts", "TypeScript", 40, 0, 0, 4, 7, 51
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\helpers\getFullName.ts", "TypeScript", 8, 0, 0, 0, 3, 11
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\helpers\getThreeMostReactionTypes.ts", "TypeScript", 9, 0, 0, 0, 3, 12
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\helpers\reactionTypeFormat.ts", "TypeScript", 16, 0, 0, 0, 3, 19
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\helpers\timeAgo.ts", "TypeScript", 20, 0, 0, 1, 2, 23
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\helpers\uploadImage.ts", "TypeScript", 38, 0, 0, 4, 6, 48
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\hooks\index.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\hooks\useAuth.ts", "TypeScript", 16, 0, 0, 1, 4, 21
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\index.css", "CSS", 0, 0, 13, 1, 4, 18
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\main.tsx", "TypeScript JSX", 0, 11, 0, 0, 2, 13
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\pages\AuthPage\Login.tsx", "TypeScript JSX", 0, 85, 0, 0, 8, 93
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\pages\AuthPage\Register.tsx", "TypeScript JSX", 0, 160, 0, 1, 9, 170
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\pages\AuthPage\index.tsx", "TypeScript JSX", 0, 22, 0, 2, 4, 28
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\pages\Home.tsx", "TypeScript JSX", 0, 30, 0, 1, 4, 35
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\pages\NoPage.tsx", "TypeScript JSX", 0, 5, 0, 0, 3, 8
